id,character,skeletal_element,anatomical_region,character_type,multistate_type,character_designation,character_significance,uberon_ID,description,number_of_states,state_code,taxa_found,notes
001,Projection of nasal bones above frontomaxillary suture,Frontal,Cranial,Discrete,Unordered,,,UBERON:0000209,The projection of nasal bones above frontomaxillary suture.,3,Tapered (0); Expanded (1); Not projected (2),,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015"
002,Inferior orbital margin rounded laterally,Orbit,Cranial,Discrete,Unordered,,,UBERON:0001697,The morphology of inferior margin of the orbit as being either rounded laterally or not rounded. ,2,No (0); Yes (1),,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015"
003,Infraorbital foramen location,Orbit,Cranial,Continuous,Unordered,,,UBERON:0001697,"The ratio of the distances between orbitale and the foramen, and orbitale and the root of the zygoma.",2,High (0); Low (1),,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015"
004,Anterior pillars,Maxilla,Craniofacial,Discrete,Unordered,,,UBERON:0002397,The presence of anterior pillars.,2,Absent (0); Present (1),,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999"
005,Nasoalveolar clivus contour in coronal plane,Maxilla,Craniofacial,Discrete,Ordered,,,UBERON:0002397,The contour of nasoalveolar clivus in coronal plane.,3,Convex (0); Straight (1); Concave (2),,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Asfaw et al. 1999"
006,Nasal cavity entrance,Nasal,Craniofacial,Discrete,Unordered,,,UBERON:0001681,The contour of the nasal cavity entrance.,2,Stepped (0); Smooth (1),,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015"
007,Anterior projection of zygomatic bone relative to piriform aperture (dishing),Zygomatic,Craniofacial,Discrete,Ordered,,,UBERON:0001683,The position of the infraorbital plate of the zygoma relative to the piriform aperture.,3,Posterior (0); Intermediate (1); Anterior (2),,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015"
008,Masseteric position relative to sellion,Mandible,Cranial,Discrete,Unordered,,,UBERON:0001684,The distance from the articular eminence to the zygomatic tubercle expressed as a percentage of the horizontal distance between the articular eminence and sellion.,2,Anterior (0); Posterior (1),,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015"
009,Cranial capacity,Brain,Cranial,Continuous,Ordered,Both,Diagnostic,UBERON:0000955,Cranial capacity in cubic centimeters. (Small<500; Intermediate=500-680; Medium=750-875; Large=900-1200; Very large>1300),4,Small (0); Intermediate (1); Medium (2); Large (3); Very large (4),,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015; Berger 2010"
010,Cerebellar morphology,Brain,Cranial,Discrete,Unordered,,,UBERON:0000955,The position of cerebellum relative to the cerebrum.,2,Lateral flare with posterior protrusion (0); Tucked (1),,"Traits from Strait, 1997;2004 & Dembo, 2015. Descriptions from Dembo, 2015"
