"id","character","issue"
1,"Projection of nasal bones above frontomaxillary suture","No phylogenetic/taxonomic designation"
2,"Inferior orbital margin rounded laterally","No phylogenetic/taxonomic designation"
3,"Infraorbital foramen location","No phylogenetic/taxonomic designation"
4,"Anterior pillars","No phylogenetic/taxonomic designation"
5,"Nasoalveolar clivus contour in coronal plane","No phylogenetic/taxonomic designation"
6,"Nasal cavity entrance","No phylogenetic/taxonomic designation"
7,"Anterior projection of zygomatic bone relative to piriform aperture (dishing)","No phylogenetic/taxonomic designation"
8,"Masseteric position relative to sellion","No phylogenetic/taxonomic designation"
10,"Cerebellar morphology","No phylogenetic/taxonomic designation"
11,"O-M sinus present in high frequency","No ordered/unordered designation"
11,"O-M sinus present in high frequency","No phylogenetic/taxonomic designation"
11,"O-M sinus present in high frequency","No number of states"
13,"Asterionic notch","No phylogenetic/taxonomic designation"
14,"Parietal overlap of occipital at asterion","No phylogenetic/taxonomic designation"
16,"Pneumatization of temporal squama","No phylogenetic/taxonomic designation"
17,"Facial hafting","No phylogenetic/taxonomic designation"
18,"Supraglenoid gutter width","No phylogenetic/taxonomic designation"
19,"Petrous orientation","No phylogenetic/taxonomic designation"
20,"Origin of digastric muscle","No ordered/unordered designation"
20,"Origin of digastric muscle","No phylogenetic/taxonomic designation"
20,"Origin of digastric muscle","No Uberon ID"
20,"Origin of digastric muscle","No skeletal element"
20,"Origin of digastric muscle","No number of states"
21,"Mandibular cross-sectional area at M1","No phylogenetic/taxonomic designation"
22,"Hollowing above and behind mental foramen","No phylogenetic/taxonomic designation"
23,"Mandibular deciduous canine shape","No phylogenetic/taxonomic designation"
25,"Premolar crown area","No phylogenetic/taxonomic designation"
25,"Premolar crown area","No number of states"
26,"Molar crown area","No phylogenetic/taxonomic designation"
26,"Molar crown area","No number of states"
27,"dM1 mesial crown profile","No phylogenetic/taxonomic designation"
28,"Distal marginal ridge of dM2","No phylogenetic/taxonomic designation"
29,"Separation of molar and premolar cusp apices","No ordered/unordered designation"
29,"Separation of molar and premolar cusp apices","No phylogenetic/taxonomic designation"
29,"Separation of molar and premolar cusp apices","No number of states"
30,"Frequency of well developed P3","No phylogenetic/taxonomic designation"
30,"Frequency of well developed P3","No number of states"
31,"Mesiobuccal protrusion of P3 crown base","No phylogenetic/taxonomic designation"
32,"Orientation of mandibular premolar row (dental arcade shape)","No phylogenetic/taxonomic designation"
33,"Parietal tuber","No phylogenetic/taxonomic designation"
34,"Parietomastoid angle","No phylogenetic/taxonomic designation"
34,"Parietomastoid angle","No number of states"
35,"External auditory meatus size","No phylogenetic/taxonomic designation"
36,"Separation of mandibular tooth rows","No phylogenetic/taxonomic designation"
36,"Separation of mandibular tooth rows","No number of states"
37,"Configuration of the superior orbital fissure","No phylogenetic/taxonomic designation"
38,"Size of Longus capitis insertion","No phylogenetic/taxonomic designation"
38,"Size of Longus capitis insertion","No number of states"
39,"Height of articular eminence above occlusal plane","No ordered/unordered designation"
39,"Height of articular eminence above occlusal plane","No phylogenetic/taxonomic designation"
39,"Height of articular eminence above occlusal plane","No Uberon ID"
39,"Height of articular eminence above occlusal plane","No skeletal element"
39,"Height of articular eminence above occlusal plane","No number of states"
40,"Extensive mesial groove on upper canine","No phylogenetic/taxonomic designation"
40,"Extensive mesial groove on upper canine","No number of states"
41,"Depth of subarcuate fossa","No phylogenetic/taxonomic designation"
41,"Depth of subarcuate fossa","No number of states"
42,"Orientation and length of the post-incisive planum","No phylogenetic/taxonomic designation"
42,"Orientation and length of the post-incisive planum","No number of states"
43,"Distinctiveness of angular process of mandible","No phylogenetic/taxonomic designation"
44,"Axis of ear bones","No phylogenetic/taxonomic designation"
45,"Area of inner ear","No phylogenetic/taxonomic designation"
46,"Presence/absence of frontal sinus","No phylogenetic/taxonomic designation"
46,"Presence/absence of frontal sinus","No number of states"
47,"Position of infraorbital foramen relative to orbit","No phylogenetic/taxonomic designation"
48,"Glabellar prominence relative to sella","No ordered/unordered designation"
48,"Glabellar prominence relative to sella","No phylogenetic/taxonomic designation"
48,"Glabellar prominence relative to sella","No skeletal element"
48,"Glabellar prominence relative to sella","No number of states"
50,"Supraorbital contour","No phylogenetic/taxonomic designation"
51,"Position of zygomatic foramina","No phylogenetic/taxonomic designation"
52,"Patency of premaxillary suture in adults from frontal view","No phylogenetic/taxonomic designation"
53,"Petrous apex ossified beyond spheno-occipital synchondrosis","No phylogenetic/taxonomic designation"
54,"I2 similar in shape to I1","No phylogenetic/taxonomic designation"
54,"I2 similar in shape to I1","No number of states"
55,"Basal keel of lower canine","No phylogenetic/taxonomic designation"
55,"Basal keel of lower canine","No number of states"
56,"Basal area of paracone of P3","No ordered/unordered designation"
56,"Basal area of paracone of P3","No phylogenetic/taxonomic designation"
56,"Basal area of paracone of P3","No number of states"
57,"Molar cingulum","No phylogenetic/taxonomic designation"
57,"Molar cingulum","No number of states"
58,"Metaconid of dp3","No phylogenetic/taxonomic designation"
58,"Metaconid of dp3","No number of states"
59,"Talonid basin of dp3","No phylogenetic/taxonomic designation"
59,"Talonid basin of dp3","No number of states"
60,"Distal trigonid crest on dp4","No phylogenetic/taxonomic designation"
60,"Distal trigonid crest on dp4","No number of states"
61,"Protocone of dp3, in occlusal view","No phylogenetic/taxonomic designation"
61,"Protocone of dp3, in occlusal view","No number of states"
62,"Crista obliqua of dp4","No phylogenetic/taxonomic designation"
62,"Crista obliqua of dp4","No number of states"
63,"Condylar canal","No phylogenetic/taxonomic designation"
64,"Mandibular corpus depth along tooth row","No phylogenetic/taxonomic designation"
65,"Ethmo-sphenoid contact","No phylogenetic/taxonomic designation"
66,"I1 lingual crenulations","No phylogenetic/taxonomic designation"
67,"Canine sexual dimorphism","No phylogenetic/taxonomic designation"
68,"Sulcus obliqus","No phylogenetic/taxonomic designation"
