"id","character","skeletal_element","number_of_states","quant_reason"
29,"Separation of molar and premolar cusp apices","Mandible",NA,"Measurement-based"
35,"External auditory meatus size","Temporal",2,"Measurement-based"
36,"Separation of mandibular tooth rows","Mandible",NA,"Measurement-based"
37,"Configuration of the superior orbital fissure","Orbit",2,"Measurement-based"
38,"Size of Longus capitis insertion","Occipital",NA,"Measurement-based"
39,"Height of articular eminence above occlusal plane","Unscored",NA,"Measurement-based"
41,"Depth of subarcuate fossa","Temporal",NA,"Measurement-based"
42,"Orientation and length of the post-incisive planum","Mandible",NA,"Measurement-based"
64,"Mandibular corpus depth along tooth row","Mandible",3,"Measurement-based"
69,"Cranial vault thickness","Vault",3,"Measurement-based"
72,"Height of calvaria relative to orbits","Vault",3,"Measurement-based"
73,"Maximum cranial breadth","Vault",3,"Measurement-based"
80,"Upper facial breadth","Face",4,"Measurement-based"
102,"Supraorbital thickness gradient","Frontal",2,"Measurement-based"
108,"Interorbital breadth","Orbit",2,"Measurement-based"
114,"Inferior width of projecting nasal bone","Nasal",3,"Measurement-based"
119,"Subnasal length","Maxilla",3,"Measurement-based"
122,"External palate breadth","Palate",3,"Measurement-based"
126,"Anterior palate depth","Palate",2,"Measurement-based"
132,"Maxillary sinus size","Maxilla",2,"Measurement-based"
138,"Malar diagonal length","Zygomatic",3,"Measurement-based"
140,"Zygomatic insertion height","Zygomatic",2,"Measurement-based"
145,"Masseter origin height","Zygomatic",2,"Measurement-based"
154,"Temporal fossae size","Temporal",3,"Measurement-based"
164,"Integration of entoglenoid formation with articular tubercle","Temporal",2,"Measurement-based"
166,"Width between the tympanic plate and entoglenoid process","Temporal",3,"Measurement-based"
169,"Subarcuate fossa depth","Temporal",3,"Measurement-based"
176,"Mandibular fossa length","Temporal",2,"Measurement-based"
177,"Mandibular fossa depth","Temporal",2,"Measurement-based"
182,"Postglenoid process size","Temporal",3,"Measurement-based"
184,"Vaginal process size","Temporal",2,"Measurement-based"
200,"Squamotympanic fissure depth","Temporal",2,"Measurement-based"
203,"Mastoid process size","Temporal",2,"Measurement-based"
218,"Digastric fossa depth","Temporal",2,"Measurement-based"
219,"Digastric fossa length","Temporal",2,"Measurement-based"
220,"Digastric fossa width","Temporal",2,"Measurement-based"
224,"Temporal squama height","Temporal",2,"Measurement-based"
235,"Temporal band width in lateral view","Vault",2,"Measurement-based"
244,"Relative height of nuchal area","Occipital",2,"Measurement-based"
249,"Longus capitis insertion size","Occipital",2,"Measurement-based"
252,"Occipital plane length","Occipital",2,"Measurement-based"
279,"Enamel thickness","Dentition",3,"Measurement-based"
294,"Canine size reduction","Canine",3,"Measurement-based"
308,"Maxillary P3 root number","Premolar",2,"Count (meristic)"
310,"Mandibular P3 root number","Premolar",2,"Count (meristic)"
314,"Mandibular P4 root number","Premolar",2,"Count (meristic)"
321,"Molar dentine horn height","Molar",2,"Measurement-based"
327,"Peak of enamel thickness between the roots of molars","Molar",2,"Measurement-based"
333,"Cusp number on mandibular M1","Molar",2,"Count (meristic)"
336,"Root number on mandibular M1","Molar",1,"Count (meristic)"
342,"Cusp number on mandibular M2","Molar",4,"Count (meristic)"
343,"Root number on mandibular M2","Molar",2,"Count (meristic)"
346,"Protocone size relative to paracone of deciduous m1","Premolar",2,"Measurement-based"
367,"Submandibular fossa depth","Mandible",2,"Measurement-based"
372,"Mental foramen number","Mandible",2,"Count (meristic)"
384,"Ramus length","Mandible",2,"Measurement-based"
394,"Planum triangulare size","Mandible",3,"Measurement-based"
395,"Planum triangulare depth","Mandible",3,"Measurement-based"
396,"Condyle height relative to the coronoid","Mandible",3,"Measurement-based"
398,"Fossa subcondylea depth","Mandible",3,"Measurement-based"
406,"Fossa masseterica depth","Mandible",3,"Measurement-based"
408,"Pterygoid fossa depth","Mandible",2,"Measurement-based"
416,"Postcanine absolute size","Dentition",NA,"Measurement-based"
425,"Separation of vomeral/Anterior septal insertion","Nasal",3,"Measurement-based"
427,"Relative size of posterior temporalis","Temporal",3,"Measurement-based"
430,"Infraorbital foramen height","Orbit",3,"Measurement-based"
