"id","character","skeletal_element","assigned_region","majority_region"
4,"Anterior pillars","Maxilla","Craniofacial","Cranial"
5,"Nasoalveolar clivus contour in coronal plane","Maxilla","Craniofacial","Cranial"
6,"Nasal cavity entrance","Nasal","Craniofacial","Cranial"
11,"O-M sinus present in high frequency","Maxilla","Craniofacial","Cranial"
21,"Mandibular cross-sectional area at M1","Mandible","Dental","Cranial"
23,"Mandibular deciduous canine shape","Mandible","Dental","Cranial"
29,"Separation of molar and premolar cusp apices","Mandible","Dental","Cranial"
32,"Orientation of mandibular premolar row (dental arcade shape)","Mandible","Dental","Cranial"
34,"Parietomastoid angle","Parietal","Dental","Cranial"
36,"Separation of mandibular tooth rows","Mandible","Dental","Cranial"
50,"Supraorbital contour","Orbit","Craniofacial","Cranial"
52,"Patency of premaxillary suture in adults from frontal view","Maxilla","Craniofacial","Cranial"
64,"Mandibular corpus depth along tooth row","Mandible","Dental","Cranial"
136,"Anterior zygomatic root position","Maxilla","Craniofacial","Cranial"
138,"Malar diagonal length","Zygomatic","Cranial","Craniofacial"
139,"Malar orientation","Zygomatic","Cranial","Craniofacial"
167,"Entoglenoid process position relative to anterior zygomatic tubercle or ectoglenoid process","Temporal","Craniofacial","Cranial"
208,"Supramastoid crest and zygomatic process contact","Temporal","Craniofacial","Cranial"
419,"Maxillary dental arcade shape","Maxilla","Dental","Cranial"
420,"Posterior dental arcade","Maxilla","Dental","Cranial"
421,"Inferolateral nasal aperture margin","Nasal","Craniofacial","Cranial"
423,"Maxillary fossula","Maxilla","Craniofacial","Cranial"
424,"Subnasal to instranasal contours","Nasal","Craniofacial","Cranial"
425,"Separation of vomeral/Anterior septal insertion","Nasal","Craniofacial","Cranial"
426,"Facial dishing","Nasal","Craniofacial","Cranial"
429,"Convexity/concavity of infraorbital region","Orbit","Craniofacial","Cranial"
430,"Infraorbital foramen height","Orbit","Craniofacial","Cranial"
